ENSG00000169962.4,0.506,0.52,0.522,0.485,0.576,0.346,0.52,0.364,0.416,0.398,2.006,2.136,0.607,0.526,0.373,0.442,0.47,0.379,0.395,0.3,0.734,1.14,0.21,1.021,1.186,0.551,1.461,0.495,1.667,0.504,1.478,0.613,0.766,0.45,0.727,0.576,0.971,2.144,0.876,1.16,0.939,0.18,3.145,0.762,0.635,0.713,2.882,5.803,0.689,2.122,1.334,0.927,1.416,0.92
ENSG00000284372.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000107404.19,58.52,52.22,64.19,69.14,65.67,69.5,75.99,67.38,87.365,59.365,101.9,108.1,100.1,92,63.28,53.955,66.855,51.42,51.47,47.62,61.57,24.025,63.705,89.51,92.645,86.54,57.78,77.2,89,78.48,113.1,38.36,44.69,31.27,43.765,34.495,72.11,65.79,151.4,129.3,87.605,39.235,84.69,76.79,82.52,83.04,49.89,46.85,65.76,135.6,86.67,95.31,84.965,10.16
ENSG00000162576.16,216.1,109.1,23.925,264.45,186.35,163.9,132.4,11.275,13.185,13.91,8.844,13.41,15.92,11.55,11.96,10.85,13.08,12.23,8.229,9.645,165.1,1.681,371.25,282,306.15,131,62.505,89.46,37.13,74.85,148.1,45.37,17.005,37.39,30.845,6.926,118.6,61.225,14.54,356.9,215.5,8.104,53.8,103.3,57.175,80.68,52.74,69.21,33.31,50.99,143.7,247.55,155.7,0.8
ENSG00000175756.13,79.48,81.87,89.265,75.61,78.625,74.8,81.96,66.89,79.825,71.31,87.92,82.22,78.19,92.66,60.68,69.21,77.315,65.79,64.28,70.59,81.21,109.2,115.65,73.3,78.62,95.82,84.59,84.47,86.21,85.67,75.78,80.95,84.11,70.87,103.55,74.34,73.73,69.61,104.7,72.85,64.075,40.27,90.54,89.05,76.37,79.88,72.66,83.23,79.2,378.9,97.37,78.23,73.06,60.92
ENSG00000223663.2,0.213,0.209,0.245,0.159,0.244,0.166,0.206,0.202,0.209,0.219,0.938,1.192,0.293,0.24,0.23,0.227,0.248,0.26,0.155,0.149,0.216,0.469,0.17,0.179,0.057,0.348,0.335,0.34,0.232,0.347,0.469,0.151,0.185,0.184,0.151,0.322,0.238,0.19,0.144,0.238,0.184,0.124,0.315,0.271,0.236,0.242,0.418,0.429,0.301,0.905,0.368,0.289,0.176,0
ENSG00000224870.6,13.31,11.27,16.305,15.195,15.955,12.19,17.96,11.465,11.165,10.635,17.26,17.44,12.2,13.73,12.29,13.71,10.445,11.43,21.41,14.41,13.89,23.89,18.545,18.21,20.03,15.16,14.31,15.65,13.92,15.44,18.37,7.057,5.976,10.65,17.5,20.045,16.385,15.665,5.425,21.39,14.765,8.336,18.75,22.86,14.395,14.59,16.42,25.13,14.9,23.61,25.09,20.47,15.895,6.878
ENSG00000221978.11,180.6,161.6,146.7,173.7,174.3,158.2,233.2,36.86,42.08,46.51,295.8,314.9,68.07,55.98,42.52,46.355,46.4,40.06,62.58,41.75,197.9,66.37,157.65,274.9,375.65,211.6,143.05,210.2,126.9,193,348.8,63.02,42.275,109,112.045,115.15,202.2,160,43.55,243.1,346.15,76.205,241.5,278.5,176.9,147,180.2,203.3,131,93.91,314.5,324.8,240.45,32.42
ENSG00000242485.5,70.69,70.1,65.835,84.225,83.925,87.48,80.2,46.445,55.515,49.085,64.06,58.44,49.9,61.63,41.48,56.27,53.685,43.77,54.77,50.17,75.68,98.8,90.67,69.91,74.985,89.35,61.975,82.03,65.78,81.03,79.85,53.3,51.51,44.99,70.63,39.875,71.67,60.455,76.05,82.81,74.105,34.575,87.2,88.18,62.25,62.21,60.75,70.35,57.36,57.28,90.26,80.165,69.77,22.88
ENSG00000272455.1,2.903,2.087,2.559,4.404,4.951,4.612,6.709,3.127,3.563,3.598,16.86,16.07,4.479,4.234,3.51,4.187,4.351,3.276,4.334,3.226,2.844,8.412,5.026,4.912,9.255,6.949,5.6,6.176,5.286,5.894,9.562,1.484,1.51,3.726,8.107,2.718,3.929,4.537,1.743,7.606,10.029,1.607,8.896,11.4,2.561,3.719,6.979,10.48,4.567,11.18,10.16,10.175,5.494,0.932
